id,origin,normalize,predict
6395117,about+agency+branding+business+calendar+card+career+contact+coporation+feature+fresh+icon+illustration+list+startup+studio+technology+web+website+yellow,icon+agency+coporation+fresh+branding+calendar+list+business+startup+website+illustration+about+contact+technology+yellow+studio+career+card+feature,mobile+website+ecommerce+yellow
6900821,clean+empty state+groups+illustration+ios+mobile app+product design+ui+user list+ux+visual+yellow,user list+visual+empty state+yellow+ui+illustration+mobile+groups+ux+simple+ios+website+product design,mobile+website+yellow
4475014,android+app+books+details+home+ios+library+list+navigation+screen+search+social,android+search+social+mobile+book+navigation+home+screen+details+list+library+ios,mobile
6520816,category+contract+contractbook+contracts+contracts management+dashboard+list+prototype+prototyping+share+sharing+templates+templates management+ui+ux,category+prototype+contracts management+templates+ui+prototyping+share+ux+contracts+dashboard+list+contract+sharing+contractbook+templates management,mobile+dashboard
5881393,android+app+ar+augmented+augmentedreality+behance+distance+flat+food+friends list+future+interface+ios+iphone+map+mobile+navigation+street+tourism+travel,augmented+android+ar+future+travel+behance+mobile+flat+friends list+interface+navigation+map+street+distance+augmentedreality+food+ios+website,mobile+website+travel+food
6660965,admin panel+app+calendar+dashboad+dashboard+ecommerce+management app+mobile+planing+planning+project+saas app+schedule+task list+task management+team+ui+uxui,task management+ecommerce+management app+ui+project+mobile+saas app+task list+calendar+planing+dashboard+team+planning+schedule+admin panel+website+dashboad,mobile+website+dashboard+checkout+ecommerce
6180999,app+car+clean+design+information+list+map+metro+mobile+plan+route+search+step+subway+ticket+traffic+ui,metro+subway+ui+search+mobile+information+map+step+list+car+route+plan+design+traffic+simple+website+ticket,mobile+website
5912520,alert+app+bill+card+colors+credit+crypto+currency+dialog+ios+list+material+pattern+pay+payment+prompt+total,bill+dialog+alert+mobile+credit+checkout+colors+total+material+pay+list+prompt+crypto+card+ios+currency+pattern,mobile+checkout
5958932,app+app branding+application+booking+feed+ios+list+massage+mobile+patern+profile+ui+ui design+user interface+user interface design+ux,booking+patern+ui+feed+mobile+app branding+massage+ux+list+profile+ios+website,mobile+website+profile
5987177,app+best+clean+flat+interface+ios+list+management+material+message+minimalist+mobile+mockup+project+purple+send+simple+task+todo+ui,ui+minimalist+interface+list+ios+website+todo+project+mobile+material+best+management+mockup+send+purple+message+flat+task+simple,mobile+website
5739432,app+card+design+list+sketch+tourism+ui,travel+ui+mobile+list+sketch+design+card,mobile+travel
6503129,android+app+apple+artist+clean+colorful+design+entertainment+interface+ios+list+material+mobile+music+play+player+playlist+ui,artist+play+android+colorful+ui+entertainment+apple+mobile+interface+material+ios+list+player+design+music+simple+website,mobile+website+music
4544339,black+ios+list+menu+minimal+schedule+statistics+task+todo+to-do+white,statistics+to-do+todo+menu+ios+list+task+schedule+black+white+simple,mobile+black+white
3937905,app+contact+flat+friends+ios+list+mobile+send+tickets+ui+ux,friends+send+contact+ui+mobile+flat+ux+list+tickets+ios+website,mobile+website
6237331,contract+contractbook+contracts+drafts+list+list dashboard+list view+signing+store+storing+templates+ui+ux,templates+ui+list dashboard+ux+storing+store+contracts+drafts+list+list view+contract+signing+contractbook,mobile
5287450,about+app+details+hiwow+layout+list+live+menu+profile+user+video+web+youtube,hiwow+menu+mobile+about+youtube+details+layout+list+live+user+profile+video+website,mobile+website+profile
6830715,calendar+learning+list+machine+machinelearning+machine learning+meeting+notification+onboarding+plans+rondesign+shedule+task+tasks+to do+watch,learning+machine+onboarding+meeting+shedule+machine learning+tasks+plans+calendar+list+rondesign+task+watch+to do+notification+machinelearning,mobile+music
5886791,android+app+ar+augmented+augmentedreality+behance+distance+flat+food+friends list+future+interface+ios+iphone+map+mobile+navigation+street+tourism+travel,augmented+android+ar+future+travel+behance+mobile+flat+friends list+interface+navigation+map+street+distance+augmentedreality+food+ios+website,mobile+website+travel+food+music
5875619,app+check-out+clean+details+gallery+list+media+message+mobile+price+shop+ui+video,price+ui+check-out+mobile+message+gallery+details+shop+list+video+media+simple+website,mobile+website+travel
6071402,app+application+checkbox+clean+design+interface+list+mobile+task app+task list+tasks+time+ui+ux,time+ui+tasks+task app+mobile+interface+task list+ux+list+checkbox+design+simple+website,mobile+website
6440429,dashboard+finance+fintech+flat+invoice+ios+list+pastel+simple.+ui+ux,simple.+ui+flat+ux+fintech+dashboard+list+invoice+pastel+finance+ios,mobile+dashboard+finance
4030745,blue+cake+christmas+elves+illustration+list+reindeer+switch+ui+wacom+wish,reindeer+elves+switch+ui+wish+illustration+christmas+list+food+wacom+blue,mobile+food+blue
6438719,app+app store+card+clean+colour+design+dribbble+game+list+overwatch+ow+ui,dribbble+ui+ow+mobile+game+overwatch+list+app store+design+colour+card+simple,mobile+game+ecommerce+pink
6695852,app+calendar+call+dashboard+flat+ios+list+meet+meeting+schedule+ui+ux,meeting+ui+mobile+flat+ux+calendar+dashboard+list+schedule+meet+call+ios,mobile+dashboard
